image_index,image_path,image_name,scale,inner_size,area_percent,mass_threshold,original_k,original_realized_mass_percent,retained_mass_percent,nucleus_set_overlap_percent,shared_token_count
0,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/adult.png,adult.png,1.0,336,100.0,0.9,7,91.36911630630493,91.36911630630493,100.0,7.0
0,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/adult.png,adult.png,1.5,224,44.44444444444444,0.9,7,91.36911630630493,90.38553237915039,85.71428571428571,6.0
0,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/adult.png,adult.png,2.0,168,25.0,0.9,7,91.36911630630493,86.06136441230774,71.42857142857143,5.0
0,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/adult.png,adult.png,2.5,134,16.0,0.9,7,91.36911630630493,83.5436463356018,71.42857142857143,5.0
0,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/adult.png,adult.png,3.0,112,11.11111111111111,0.9,7,91.36911630630493,85.30997037887573,57.142857142857146,4.000000000000001
1,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/air plane.png,air plane.png,1.0,336,100.0,0.9,3,97.05700278282166,97.05700278282166,100.0,3.0
1,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/air plane.png,air plane.png,1.5,224,44.44444444444444,0.9,3,97.05700278282166,96.96511030197144,100.0,3.0
1,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/air plane.png,air plane.png,2.0,168,25.0,0.9,3,97.05700278282166,96.79089188575745,100.0,3.0
1,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/air plane.png,air plane.png,2.5,134,16.0,0.9,3,97.05700278282166,97.0077395439148,100.0,3.0
1,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/air plane.png,air plane.png,3.0,112,11.11111111111111,0.9,3,97.05700278282166,96.79149389266968,100.0,3.0
2,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/airbus.png,airbus.png,1.0,336,100.0,0.9,3,96.36830687522888,96.36830687522888,100.0,3.0
2,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/airbus.png,airbus.png,1.5,224,44.44444444444444,0.9,3,96.36830687522888,97.01013565063477,100.0,3.0
2,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/airbus.png,airbus.png,2.0,168,25.0,0.9,3,96.36830687522888,97.04737067222595,100.0,3.0
2,/home/jihoon/jihoon/RVCD/MAIN_CODES/DB_single_concept_images_flux_generated/generated_images/airbus.png,airbus.png,2.5,134,16.0,0.9,3,96.36830687522888,97.03607559204102,100.0,3.0
